date_key,date_value,year,month,day,day_of_week
1,2018-01-15,2018,1,15,Monday
2,2018-01-16,2018,1,16,Tuesday
3,2018-01-17,2018,1,17,Wednesday
4,2018-01-18,2018,1,18,Thursday
5,2018-01-19,2018,1,19,Friday
6,2018-01-22,2018,1,22,Monday
7,2018-01-23,2018,1,23,Tuesday
8,2018-01-24,2018,1,24,Wednesday
9,2018-01-25,2018,1,25,Thursday
10,2018-01-26,2018,1,26,Friday
11,2018-01-29,2018,1,29,Monday
12,2018-01-30,2018,1,30,Tuesday
13,2018-01-31,2018,1,31,Wednesday
14,2018-02-01,2018,2,1,Thursday
15,2018-02-02,2018,2,2,Friday
16,2018-02-05,2018,2,5,Monday
17,2018-02-06,2018,2,6,Tuesday
18,2018-02-07,2018,2,7,Wednesday
19,2018-02-08,2018,2,8,Thursday
20,2018-02-09,2018,2,9,Friday
21,2018-02-12,2018,2,12,Monday
22,2018-02-13,2018,2,13,Tuesday
23,2018-02-14,2018,2,14,Wednesday
24,2018-02-15,2018,2,15,Thursday
25,2018-02-16,2018,2,16,Friday
26,2018-02-19,2018,2,19,Monday
27,2018-02-20,2018,2,20,Tuesday
28,2018-02-21,2018,2,21,Wednesday
29,2018-02-22,2018,2,22,Thursday
30,2018-02-23,2018,2,23,Friday
31,2018-02-26,2018,2,26,Monday
32,2018-02-27,2018,2,27,Tuesday
33,2018-02-28,2018,2,28,Wednesday
34,2018-03-01,2018,3,1,Thursday
35,2018-03-02,2018,3,2,Friday
36,2018-03-05,2018,3,5,Monday
37,2018-03-06,2018,3,6,Tuesday
38,2018-03-07,2018,3,7,Wednesday
39,2018-03-08,2018,3,8,Thursday
40,2018-03-09,2018,3,9,Friday
41,2018-03-12,2018,3,12,Monday
42,2018-03-13,2018,3,13,Tuesday
43,2018-03-14,2018,3,14,Wednesday
44,2018-03-15,2018,3,15,Thursday
45,2018-03-16,2018,3,16,Friday
46,2018-03-19,2018,3,19,Monday
47,2018-03-20,2018,3,20,Tuesday
48,2018-03-21,2018,3,21,Wednesday
49,2018-03-22,2018,3,22,Thursday
50,2018-03-23,2018,3,23,Friday
51,2018-03-26,2018,3,26,Monday
52,2018-03-27,2018,3,27,Tuesday
53,2018-03-28,2018,3,28,Wednesday
54,2018-03-29,2018,3,29,Thursday
55,2018-03-30,2018,3,30,Friday
56,2018-04-02,2018,4,2,Monday
57,2018-04-03,2018,4,3,Tuesday
58,2018-04-04,2018,4,4,Wednesday
59,2018-04-05,2018,4,5,Thursday
60,2018-04-06,2018,4,6,Friday
61,2018-04-09,2018,4,9,Monday
62,2018-04-10,2018,4,10,Tuesday
63,2018-04-11,2018,4,11,Wednesday
64,2018-04-12,2018,4,12,Thursday
65,2018-04-13,2018,4,13,Friday
66,2018-04-16,2018,4,16,Monday
67,2018-04-17,2018,4,17,Tuesday
68,2018-04-18,2018,4,18,Wednesday
69,2018-04-19,2018,4,19,Thursday
70,2018-04-20,2018,4,20,Friday
71,2018-04-23,2018,4,23,Monday
72,2018-04-24,2018,4,24,Tuesday
73,2018-04-25,2018,4,25,Wednesday
74,2018-04-26,2018,4,26,Thursday
75,2018-04-27,2018,4,27,Friday
76,2018-04-30,2018,4,30,Monday
77,2018-05-01,2018,5,1,Tuesday
78,2018-05-02,2018,5,2,Wednesday
79,2018-05-03,2018,5,3,Thursday
80,2018-05-04,2018,5,4,Friday
81,2018-05-07,2018,5,7,Monday
82,2018-05-08,2018,5,8,Tuesday
83,2018-05-09,2018,5,9,Wednesday
84,2018-05-10,2018,5,10,Thursday
85,2018-05-11,2018,5,11,Friday
86,2018-05-14,2018,5,14,Monday
87,2018-05-15,2018,5,15,Tuesday
88,2018-05-16,2018,5,16,Wednesday
89,2018-05-17,2018,5,17,Thursday
90,2018-05-18,2018,5,18,Friday
91,2018-05-21,2018,5,21,Monday
92,2018-05-22,2018,5,22,Tuesday
93,2018-05-23,2018,5,23,Wednesday
94,2018-05-24,2018,5,24,Thursday
95,2018-05-25,2018,5,25,Friday
96,2018-05-28,2018,5,28,Monday
97,2018-05-29,2018,5,29,Tuesday
98,2018-05-30,2018,5,30,Wednesday
99,2018-05-31,2018,5,31,Thursday
100,2018-09-03,2018,9,3,Monday
101,2018-09-04,2018,9,4,Tuesday
102,2018-09-05,2018,9,5,Wednesday
103,2018-09-06,2018,9,6,Thursday
104,2018-09-07,2018,9,7,Friday
105,2018-09-10,2018,9,10,Monday
106,2018-09-11,2018,9,11,Tuesday
107,2018-09-12,2018,9,12,Wednesday
108,2018-09-13,2018,9,13,Thursday
109,2018-09-14,2018,9,14,Friday
110,2018-09-17,2018,9,17,Monday
111,2018-09-18,2018,9,18,Tuesday
112,2018-09-19,2018,9,19,Wednesday
113,2018-09-20,2018,9,20,Thursday
114,2018-09-21,2018,9,21,Friday
115,2018-09-24,2018,9,24,Monday
116,2018-09-25,2018,9,25,Tuesday
117,2018-09-26,2018,9,26,Wednesday
118,2018-09-27,2018,9,27,Thursday
119,2018-09-28,2018,9,28,Friday
120,2018-10-01,2018,10,1,Monday
121,2018-10-02,2018,10,2,Tuesday
122,2018-10-03,2018,10,3,Wednesday
123,2018-10-04,2018,10,4,Thursday
124,2018-10-05,2018,10,5,Friday
125,2018-10-08,2018,10,8,Monday
126,2018-10-09,2018,10,9,Tuesday
127,2018-10-10,2018,10,10,Wednesday
128,2018-10-11,2018,10,11,Thursday
129,2018-10-12,2018,10,12,Friday
130,2018-10-15,2018,10,15,Monday
131,2018-10-16,2018,10,16,Tuesday
132,2018-10-17,2018,10,17,Wednesday
133,2018-10-18,2018,10,18,Thursday
134,2018-10-19,2018,10,19,Friday
135,2018-10-22,2018,10,22,Monday
136,2018-10-23,2018,10,23,Tuesday
137,2018-10-24,2018,10,24,Wednesday
138,2018-10-25,2018,10,25,Thursday
139,2018-10-26,2018,10,26,Friday
140,2018-10-29,2018,10,29,Monday
141,2018-10-30,2018,10,30,Tuesday
142,2018-10-31,2018,10,31,Wednesday
143,2018-11-01,2018,11,1,Thursday
144,2018-11-02,2018,11,2,Friday
145,2018-11-05,2018,11,5,Monday
146,2018-11-06,2018,11,6,Tuesday
147,2018-11-07,2018,11,7,Wednesday
148,2018-11-08,2018,11,8,Thursday
149,2018-11-09,2018,11,9,Friday
150,2018-11-12,2018,11,12,Monday
151,2018-11-13,2018,11,13,Tuesday
152,2018-11-14,2018,11,14,Wednesday
153,2018-11-15,2018,11,15,Thursday
154,2018-11-16,2018,11,16,Friday
155,2018-11-19,2018,11,19,Monday
156,2018-11-20,2018,11,20,Tuesday
157,2018-11-21,2018,11,21,Wednesday
158,2018-11-22,2018,11,22,Thursday
159,2018-11-23,2018,11,23,Friday
160,2018-11-26,2018,11,26,Monday
161,2018-11-27,2018,11,27,Tuesday
162,2018-11-28,2018,11,28,Wednesday
163,2018-11-29,2018,11,29,Thursday
164,2018-11-30,2018,11,30,Friday
165,2018-12-03,2018,12,3,Monday
166,2018-12-04,2018,12,4,Tuesday
167,2018-12-05,2018,12,5,Wednesday
168,2018-12-06,2018,12,6,Thursday
169,2018-12-07,2018,12,7,Friday
170,2018-12-10,2018,12,10,Monday
171,2018-12-11,2018,12,11,Tuesday
172,2018-12-12,2018,12,12,Wednesday
173,2018-12-13,2018,12,13,Thursday
174,2018-12-14,2018,12,14,Friday
175,2018-12-17,2018,12,17,Monday
176,2018-12-18,2018,12,18,Tuesday
177,2018-12-19,2018,12,19,Wednesday
178,2018-12-20,2018,12,20,Thursday
179,2019-01-15,2019,1,15,Tuesday
180,2019-01-16,2019,1,16,Wednesday
181,2019-01-17,2019,1,17,Thursday
182,2019-01-18,2019,1,18,Friday
183,2019-01-21,2019,1,21,Monday
184,2019-01-22,2019,1,22,Tuesday
185,2019-01-23,2019,1,23,Wednesday
